Код ресурса,Наименование,Ед.изм.
16.10.10.131.25.1.01.04-0033-000,"Шпала из древесины хвойных пород, непропитанная, для железных дорог широкой колеи, тип III",шт
16.10.32.112.25.1.01.05-0021-000,"Шпала из древесины хвойных пород, пропитанная, для железных дорог узкой колеи, тип I, длина 1200 мм",шт
16.10.32.112.25.1.01.05-0022-000,"Шпала из древесины хвойных пород, пропитанная, для железных дорог узкой колеи, тип II, длина 1200 мм",шт
16.10.32.112.25.1.01.05-0023-000,"Шпала из древесины хвойных пород, пропитанная, для железных дорог узкой колеи, тип III, длина 1200 мм",шт
16.10.32.111.25.1.01.05-0011-000,"Шпала из древесины хвойных пород, пропитанная, для железных дорог широкой колеи, тип I",шт
16.10.32.111.25.1.01.05-0012-000,"Шпала из древесины хвойных пород, пропитанная, для железных дорог широкой колеи, тип II",шт
16.10.32.111.25.1.01.05-0013-000,"Шпала из древесины хвойных пород, пропитанная, для железных дорог широкой колеи, тип III",шт
16.10.32.112.25.1.01.05-0025-000,"Шпала из древесины хвойных пород, пропитанная, тип II, длина 1500 мм",шт
16.10.32.112.25.1.01.05-0028-000,"Шпала из древесины хвойных пород, пропитанная, тип II, длина 1700 мм",шт
22.29.29.190.25.1.06.23-0100-000,"Шпала из полимерных композиционных материалов для железных дорог широкой колеи, тип I-II",шт
16.10.32.112.59.1.25.01-0014-000,"Шпалы деревянные для железных дорог широкой колеи, пропитанные нефтяным антисептиком марки ЖТК",шт
16.10.10.131.59.1.25.03-0011-000,"Шпалы деревянные непропитанные, тип I",шт
16.10.10.131.59.1.25.03-0012-000,"Шпалы деревянные непропитанные, тип II",шт
16.10.32.121.59.1.25.03-0013-000,"Шпалы деревянные пропитанные старогодные для повторной укладки в путь без ремонта, тип I",шт
16.10.32.121.59.1.25.03-0014-000,"Шпалы деревянные пропитанные старогодные для повторной укладки в путь без ремонта, тип II",шт
16.10.32.121.59.1.25.03-0015-000,"Шпалы деревянные пропитанные старогодные для повторной укладки в путь после ремонта, тип I",шт
16.10.32.121.59.1.25.03-0016-000,"Шпалы деревянные пропитанные старогодные для повторной укладки в путь после ремонта, тип II",шт
16.10.10.131.59.1.25.01-0015-000,Шпалы деревянные составные,шт
16.10.32.121.59.1.25.03-0017-000,"Шпалы деревянные, тип II",шт
16.10.32.111.59.1.25.01-0016-000,"Шпалы для железных дорог широкой колеи, хвойных пород, пропитанные, тип II",шт
23.61.12.163.59.1.25.01-0238-000,"Шпалы железобетонные Ш1, объем бетона 0,106 м3, расход стали 7,25 кг",шт
23.61.12.163.59.1.25.01-0030-000,Шпалы железобетонные анкерные со скреплением для трамвайных путей широкой колеи,компл
23.61.12.163.59.1.25.01-0031-000,"Шпалы железобетонные для железных дорог колеи 1520 мм, тип I",шт
23.61.12.163.59.1.25.01-0032-000,"Шпалы железобетонные для железных дорог колеи 1520 мм, тип II",шт
23.61.12.163.59.1.25.01-0033-000,"Шпалы железобетонные для железных дорог колеи 1520 мм, тип III",шт
23.61.12.163.25.1.02.01-0033-000,Шпалы железобетонные струнобетонные для железных дорог,м3
16.10.10.131.59.1.25.01-0013-000,"Шпалы из древесины хвойных пород для колеи 900 мм, непропитанные, длина 1700 мм, тип II",шт
16.10.32.140.59.1.25.01-0017-000,"Шпалы из лиственницы для метрополитена, пропитанные, тип I",шт
23.61.12.163.59.1.25.01-0034-000,Шпалы-коротыши полимербетонные армированные для путевых устройств метрополитенов с виброизолирующим скреплением,компл
23.61.12.163.59.1.25.01-0035-000,Шпалы-коротыши полимербетонные армированные для путевых устройств метрополитенов с виброизолирующим скреплением и с креплением контактного рельса,компл
23.61.12.163.59.1.25.01-0036-000,Шпалы-коротыши полимербетонные армированные для путевых устройств метрополитенов с креплением контактного рельса,шт
23.61.12.163.59.1.25.01-0037-000,Шпалы-коротыши полимербетонные армированные для путевых устройств метрополитенов с тоннельным кронштейном и с креплением контактного рельса,шт
20.30.22.120.14.5.11.10-0202-000,"Шпатлевка МС-006, цвет розовый",т
20.30.22.120.14.5.11.07-0001-000,Шпатлевка НЦ-008,т
20.30.22.120.14.5.11.10-0203-000,"Шпатлевка ПФ-002, цвет красно-коричневый",т
20.30.22.120.59.1.14.05-0132-000,Шпатлевка ШМК,т
20.30.22.120.14.5.11.09-0105-000,Шпатлевка ЭП-0010,т
20.30.22.120.14.5.11.02-0002-000,"Шпатлевка акриловая универсальная водостойкая с содержанием минерального наполнителя и модифицирующих добавок для внутренних и наружных работ по всем видам поверхностей, герметизации швов и трещин до 7 мм, температура применения от +10 °C, расход 0,55 кг/м2 при толщине слоя 2 мм",т
20.30.22.120.14.5.11.02-0006-000,"Шпатлевка акриловая универсальная водостойкая с содержанием минерального наполнителя и модифицирующих добавок для внутренних и наружных работ по всем видам поверхностей, герметизации швов и трещин до 7 мм, температура применения от +7 °C, расход 1,40 кг/м2 при толщине слоя 1 мм",т
20.30.22.120.14.5.11.02-0004-000,"Шпатлевка акриловая универсальная с содержанием минерального наполнителя и модифицирующих добавок для внутренних и наружных работ по всем видам поверхностей, герметизации швов и трещин до 7 мм, температура применения от +8 °C, расход 1,40 кг/м2 при толщине слоя 1 мм",т
20.30.22.120.14.5.11.02-0101-000,Шпатлевка водно-дисперсионная,т
20.30.22.120.14.5.11.10-0101-000,Шпатлевка водно-дисперсионная полимерная с минеральными наполнителями,т
20.30.22.120.59.1.14.05-0133-000,"Шпатлевка декоративная на основе ПВА, колерованная",кг
20.30.22.120.59.1.14.05-0138-000,Шпатлевка для внутренних работ на основе синтетической смолы,кг
20.30.22.120.14.5.11.03-1008-000,Шпатлевка для швов по гипсокартону,кг
20.30.22.120.14.5.11.01-0001-000,Шпатлевка клеевая,т
20.30.22.120.14.5.11.04-0002-000,"Шпатлевка латексная универсальная с содержанием минерального наполнителя и модифицирующих добавок для внутренних работ по всем видам поверхностей, температура применения от +5 °C, расход 2,00 кг/м2 при толщине слоя 1 мм",т
20.30.22.120.14.5.11.02-0105-000,Шпатлевка малоусадочная водостойкая фасадная,т
20.30.22.120.14.5.11.01-0003-000,Шпатлевка масляно-клеевая,т
20.30.22.120.59.1.01.07-0346-000,"Шпатлевка минеральная, с органическими стабилизаторами, для внутренних работ",кг
20.30.22.120.14.5.11.08-0002-000,Шпатлевка поливинилхлоридная ХВ-004,т
20.30.22.120.59.1.14.02-0008-000,"Шпатлевка полиуретановая, двухкомпонентная, для бетона",кг
20.30.22.120.59.1.01.03-0118-000,"Шпатлевка полиэфирная, для заполнения неровностей и царапин на поверхности",кг
20.30.22.120.14.5.11.09-0103-000,"Шпатлевка тиксотропная двухкомпонентная на основе эпоксидной смолы, компонент A",кг
20.30.22.120.14.5.11.09-0104-000,"Шпатлевка тиксотропная двухкомпонентная на основе эпоксидной смолы, компонент B",кг
20.30.22.120.59.1.14.05-0134-000,Шпатлевка фасадная АК-003-82,т
20.30.22.120.59.1.14.05-0141-000,Шпатлевка фасадная ХВ-0018,кг
20.30.22.120.59.1.14.05-0136-000,Шпатлевка финишная полимерная,кг
20.30.22.120.59.1.14.05-0140-000,Шпатлевка финишная цементная водостойкая,кг
20.30.22.120.59.1.14.05-0142-000,"Шпатлевка эпоксидная двухкомпонентная для ремонта трещин, выбоин, сколов основания, нанесения выравнивающего слоя под финишное полимерное покрытие пола, быстросохнущая, аминного отверждения",кг
25.94.11.140.59.1.01.07-1174-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 10 мм, длина 115 мм",шт
25.94.11.140.59.1.01.07-1175-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 10 мм, длина 130 мм",шт
25.94.11.140.59.1.01.07-1176-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 10 мм, длина 170 мм",шт
25.94.11.140.59.1.01.07-1177-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 10 мм, длина 190 мм",шт
25.94.11.140.59.1.01.07-1173-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 10 мм, длина 95 мм",шт
25.94.11.140.59.1.01.07-1178-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 110 мм",шт
25.94.11.140.59.1.01.07-1179-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 120 мм",шт
25.94.11.140.59.1.01.07-1180-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 160 мм",шт
25.94.11.140.59.1.01.07-1181-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 180 мм",шт
25.94.11.140.59.1.01.07-1182-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 200 мм",шт
25.94.11.140.59.1.01.07-1183-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 220 мм",шт
25.94.11.140.59.1.01.07-1184-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 260 мм",шт
25.94.11.140.59.1.01.07-1185-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 12 мм, длина 300 мм",шт
25.94.11.140.59.1.01.07-1186-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 150 мм",шт
25.94.11.140.59.1.01.07-1187-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 160 мм",шт
25.94.11.140.59.1.01.07-1188-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 190 мм",шт
25.94.11.140.59.1.01.07-1189-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 220 мм",шт
25.94.11.140.59.1.01.07-1190-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 260 мм",шт
25.94.11.140.59.1.01.07-1191-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 300 мм",шт
25.94.11.140.59.1.01.07-1192-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 350 мм",шт
25.94.11.140.59.1.01.07-1193-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 16 мм, длина 500 мм",шт
25.94.11.140.59.1.01.07-1194-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 180 мм",шт
25.94.11.140.59.1.01.07-1195-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 240 мм",шт
25.94.11.140.59.1.01.07-1196-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 260 мм",шт
25.94.11.140.59.1.01.07-1197-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 300 мм",шт
25.94.11.140.59.1.01.07-1198-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 350 мм",шт
25.94.11.140.59.1.01.07-1199-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 400 мм",шт
25.94.11.140.59.1.01.07-1200-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 20 мм, длина 480 мм",шт
25.94.11.140.59.1.01.07-1201-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 24 мм, длина 300 мм",шт
25.94.11.140.59.1.01.07-1202-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 24 мм, длина 450 мм",шт
25.94.11.140.59.1.01.07-1169-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 6 мм, длина 105 мм",шт
25.94.11.140.59.1.01.07-1168-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 6 мм, длина 75 мм",шт
25.94.11.140.59.1.01.07-1171-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 8 мм, длина 110 мм",шт
25.94.11.140.59.1.01.07-1172-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 8 мм, длина 150 мм",шт
25.94.11.140.59.1.01.07-1170-000,"Шпилька анкерная из углеродистой стали с гальваническим цинковым покрытием 5 мкм, в сборе (гайка с шайбой), для клеевых анкеров, класс прочности 5.8, диаметр 8 мм, длина 80 мм",шт
25.94.11.190.59.1.01.07-0820-000,"Шпилька анкерная стальная оцинкованная, размер М12x110 мм",шт
25.94.11.140.01.7.15.12-1008-000,"Шпилька из нержавеющей стали резьбовая, диаметр резьбы М8, длина 1000 мм",шт
25.94.11.140.59.1.23.05-0127-000,"Шпилька резьбовая из нержавеющей стали А4, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 20 мм, длина 300 мм",шт
25.94.11.140.59.1.23.05-0126-000,"Шпилька резьбовая из нержавеющей стали А4, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 24 мм длина 300 мм",шт
25.94.11.140.59.1.23.05-0128-000,"Шпилька резьбовая оцинкованная, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 10 мм, длина 130 мм",шт
25.94.11.140.59.1.23.05-0129-000,"Шпилька резьбовая оцинкованная, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 12 мм, длина 160 мм",шт
25.94.11.140.59.1.23.05-0130-000,"Шпилька резьбовая оцинкованная, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 16 мм, длина 190 мм",шт
25.94.11.140.59.1.23.05-0131-000,"Шпилька резьбовая оцинкованная, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 20 мм, длина 300 мм",шт
25.94.11.140.59.1.23.05-0132-000,"Шпилька резьбовая оцинкованная, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 24 мм, длина 300 мм",шт
25.94.11.140.59.1.23.05-0133-000,"Шпилька резьбовая оцинкованная, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 8 мм, длина 110 мм",шт
25.94.11.140.59.1.23.05-0134-000,"Шпилька резьбовая с гальваническим покрытием, в комплекте с шайбой и гайкой, для химической анкеровки, диаметр 30 мм, длина 380 мм",шт
25.94.11.140.20.1.02.23-0211-000,Шпилька стальная М8 длиной 1000 мм,шт
25.94.11.140.59.1.01.07-1159-000,"Шпилька стальная высокопрочная М22x370, СТ40Х, для крепления железобетонных плит безбалластного мостового полотна",шт
25.94.11.140.59.1.01.07-1160-000,"Шпилька стальная резьбовая, диаметр 20 мм, длина 225 мм, для крепления блоков обделки вертикальных шахтных стволов",шт
25.94.11.140.01.7.15.12-0014-000,"Шпилька стальная резьбовая, диаметр резьбы М10, длина 2000 мм",шт
25.94.11.140.01.7.15.12-0011-000,"Шпилька стальная резьбовая, диаметр резьбы М12, длина 300 мм",шт
25.94.11.140.01.7.15.12-0012-000,"Шпилька стальная резьбовая, диаметр резьбы М6, длина 2000 мм",шт
25.94.11.140.01.7.15.12-0013-000,"Шпилька стальная резьбовая, диаметр резьбы М8, длина 2000 мм",шт
25.94.11.140.01.7.15.12-0023-000,Шпильки,кг
25.94.11.140.01.7.15.01-1611-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М10, длина шпильки 130 мм",10 шт
25.94.11.140.01.7.15.01-1612-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М10, длина шпильки 170 мм",10 шт
25.94.11.140.01.7.15.01-1613-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М10, длина шпильки 190 мм",10 шт
25.94.11.140.01.7.15.01-1614-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М10, длина шпильки 220 мм",10 шт
25.94.11.140.01.7.15.01-1610-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М10, длина шпильки 95-115 мм",10 шт
25.94.11.140.01.7.15.01-1615-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М12, длина шпильки 110-120 мм",10 шт
25.94.11.140.01.7.15.01-1616-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М12, длина шпильки 160 мм",10 шт
25.94.11.140.01.7.15.01-1617-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М12, длина шпильки 220 мм",10 шт
25.94.11.140.01.7.15.01-1618-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М16, длина шпильки 150 мм",10 шт
25.94.11.140.01.7.15.01-1619-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М16, длина шпильки 190 мм",10 шт
25.94.11.140.01.7.15.01-1620-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М16, длина шпильки 220 мм",10 шт
25.94.11.140.01.7.15.01-1621-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М16, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1622-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 180 мм",10 шт
25.94.11.140.01.7.15.01-1623-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 240 мм",10 шт
25.94.11.140.01.7.15.01-1624-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 260 мм",10 шт
25.94.11.140.01.7.15.01-1625-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1626-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 350 мм",10 шт
25.94.11.140.01.7.15.01-1627-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 400 мм",10 шт
25.94.11.140.01.7.15.01-1628-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М20, длина шпильки 480 мм",10 шт
25.94.11.140.01.7.15.01-1629-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М24, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1630-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М24, длина шпильки 450 мм",10 шт
25.94.11.140.01.7.15.01-1631-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М27, длина шпильки 340 мм",10 шт
25.94.11.140.01.7.15.01-1632-000,"Шпильки анкерные из нержавеющей стали для клеевых анкеров в комплекте с гайкой и шайбой, наружная резьба М30, длина шпильки 380 мм",10 шт
25.94.11.140.01.7.15.01-1574-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М10, длина шпильки 115 мм",10 шт
25.94.11.140.01.7.15.01-1575-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М10, длина шпильки 130 мм",10 шт
25.94.11.140.01.7.15.01-1576-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М10, длина шпильки 170 мм",10 шт
25.94.11.140.01.7.15.01-1577-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М10, длина шпильки 190 мм",10 шт
25.94.11.140.01.7.15.01-1573-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М10, длина шпильки 95 мм",10 шт
25.94.11.140.01.7.15.01-1578-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 110 мм",10 шт
25.94.11.140.01.7.15.01-1579-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 120 мм",10 шт
25.94.11.140.01.7.15.01-1580-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 160 мм",10 шт
25.94.11.140.01.7.15.01-1581-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 180 мм",10 шт
25.94.11.140.01.7.15.01-1582-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 200 мм",10 шт
25.94.11.140.01.7.15.01-1583-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 220 мм",10 шт
25.94.11.140.01.7.15.01-1584-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 280 мм",10 шт
25.94.11.140.01.7.15.01-1585-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М12, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1586-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М16, длина шпильки 150 мм",10 шт
25.94.11.140.01.7.15.01-1587-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М16, длина шпильки 165 мм",10 шт
25.94.11.140.01.7.15.01-1588-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М16, длина шпильки 190 мм",10 шт
25.94.11.140.01.7.15.01-1589-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М16, длина шпильки 220 мм",10 шт
25.94.11.140.01.7.15.01-1590-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М16, длина шпильки 260 мм",10 шт
25.94.11.140.01.7.15.01-1591-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М16, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1592-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 180 мм",10 шт
25.94.11.140.01.7.15.01-1593-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 240 мм",10 шт
25.94.11.140.01.7.15.01-1594-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 260 мм",10 шт
25.94.11.140.01.7.15.01-1595-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1596-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 350 мм",10 шт
25.94.11.140.01.7.15.01-1597-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 400 мм",10 шт
25.94.11.140.01.7.15.01-1598-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М20, длина шпильки 480 мм",10 шт
25.94.11.140.01.7.15.01-1599-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М24, длина шпильки 300 мм",10 шт
25.94.11.140.01.7.15.01-1600-000,"Шпильки анкерные стальные оцинкованные для клеевых анкеров в комплекте с гайкой и шайбой, класс прочности 5.8, наружная резьба М24, длина шпильки 450 мм",10 шт
