name,КСР код,КСР наименование,ref_unit
Доска профилированная 50x200 (шт) 6м,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
"Доска профилированная обрезная 25x150мм 6м (0,0225 м3)",16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
"Доска профилированная обрезная 25x150мм 6м (0,0225 м3)",16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
"ЕГАИС Доска обрезная 25x150мм 6м (0,0225 м3)",16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
150х20х6000 доска,16.22.10.000.11.1.01.04-1130-000,"Доска обрезная шпунтованная хвойных пород (ель, сосна), сухая, длина 2-6,5 м, ширина до 200 мм, толщина 50 мм, сорт I",м3
Доска 25х150х6000мм ГОСТ ХС сорт 1 профилированная,16.22.10.000.11.1.01.04-0009-000,"Доска террасная вельвет из лиственницы, толщина 27 мм, ширина 140-190 мм, длина 2-4 м, сорт А",м3
Доска 25mm х 150mm х 6000mm,16.22.10.000.11.1.01.04-0009-000,"Доска террасная вельвет из лиственницы, толщина 27 мм, ширина 140-190 мм, длина 2-4 м, сорт А",м3
Дроссель круглый Ø100 L=160 RV=0 ED (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Воздушный клапан с площадкой под эл.привод КВК-100М Арктос,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Дроссель круглый Ø100 L=170 RV=0 RG-50 (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Воздушный клапан для круглых каналов КВК-100Р Арктос,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Дроссель круглый Ø125 L=170 RV=0 RG-50 (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Воздушный клапан для круглых каналов КВК-125Р Арктос,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Дроссель круглый Ø125 L=185 RV=0 ED (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Клапан воздушный с площадкой под электропривод КВК 125-D,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Дроссель круглый Ø160 L=170 RV=0 RG-50 (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Воздушный клапан для круглых каналов КВК-160Р Арктос,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Дроссель круглый Ø200 L=220 RV=0 RG-50 (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Воздушный клапан для круглых каналов КВК-200Р Арктос,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Дроссель круглый Ø250 L=310 RV=0 RG-50 (RS/RS) (SO 0.50 ),28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Воздушный клапан для круглых каналов КВК-250Р Арктос,28.14.11.121.19.3.01.01-0001-000,"Дроссель-клапан в обечайке с сектором управления из тонколистовой оцинкованной и сортовой стали, круглый, диаметр 280 мм",шт
Tech-Krep Дюбель распорный Чапай 6x35 шипы+усы полипропилен 50 шт - пакет 112812,22.23.19.000.01.7.15.07-0013-000,"Дюбели полипропиленовые тарельчатые кровельные, диаметр 50 мм, длина 150 мм",100 шт
Дюбель К 6/35,22.23.19.000.01.7.15.07-0013-000,"Дюбели полипропиленовые тарельчатые кровельные, диаметр 50 мм, длина 150 мм",100 шт
"Дюбель распорный 8х40 (с шипами), 500шт. в уп.",22.23.19.000.01.7.15.07-0022-000,"Дюбели полиэтиленовые распорные, диаметр 6 мм, длина 40 мм",1000 шт
дюбель-гвоздь 8х40,22.23.19.000.01.7.15.07-0022-000,"Дюбели полиэтиленовые распорные, диаметр 6 мм, длина 40 мм",1000 шт
Дюбель рамный удлинённый с шестигранной головкой 10x120 Marcopol,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Анкер стандартный L160x8,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель рамный удлинённый с шестигранной головкой 10х100,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный  10 х 100 для Кронштейна,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель с шестигранной головкой KD-10100 (TSX-S),22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный  10 х 100 для Кронштейна,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный ПАРТНЕР PT 10х100 c шурупом MG светло-бежевый (200шт.) - коробка Партнер,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный  10 х 100 для Кронштейна,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
"Дюбель фасадный с шестигранной головой, горячий цинк 10*100",22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
дюбель для бетона горячее цинкование 10/100,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
"Дюбель фасадный с шурупом с головкой под ключ, ТД, 10*100",22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный  10 х 100 для Кронштейна,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
"Дюбель фасадный, шуруп под ключ KENNER Master 10х100 (50шт)",22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный  10 х 100 для Кронштейна,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Фиксар ДФ-Б 10x100 ТД дюбель фасадный (200шт.),22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель фасадный  10 х 100 для Кронштейна,22.23.19.000.01.7.15.07-1010-000,"Дюбели фасадные полимерные с шурупом из нержавеющей стали с шестигранной головкой, диаметр 10 мм, длина 100 мм",100 шт
Дюбель TDZ 10Р-120 для теплоизоляции,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 130 мм,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
Дюбель TDZ 10Р-140 для теплоизоляции,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 130 мм,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
Дюбель TDZ 10Р-180 для теплоизоляции,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 180 мм,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
Дюбель TDZ 10Р-220 для теплоизоляции,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,22.23.19.000.01.7.15.07-1018-000,"Дюбели фасадные полипропиленовые тарельчатого типа для теплоизоляции с стальным оцинкованным гвоздем, диаметр 10 мм, длина 140 мм",1000 шт
Дюбель-гвоздь SM-G 6х40,22.23.19.000.01.7.15.07-0250-000,"Дюбель из полиамида самоклеющейся для крепления мембран гидроизоляции, размеры опорной площадки 40х40 мм, длина дюбеля 35 мм",шт
Дюбель гвоздь 6*40 гриб упаковка 200 шт,22.23.19.000.01.7.15.07-0250-000,"Дюбель из полиамида самоклеющейся для крепления мембран гидроизоляции, размеры опорной площадки 40х40 мм, длина дюбеля 35 мм",шт
Дюбель IZM 120 мм с короткой распорной частью со стальным гвоздём (упак 50 шт),25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
крепить дюбель-гвоздями 10х100 для крепления теплоизоляционных материалов,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
Дюбель KI-120N с длинной распорной зоной со стальным гвоздем (D=4.9) с термоголовой,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
Дюбель для теплоизоляции  10х130 мм металлический гвоздь с термоголовкой,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
Дюбель KI-120N с длинной распорной частью со стальным гвоздём с термоголовой,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 130 мм,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
"Дюбель К - 120 с длинной распорной зоной со стальным гвоздем (д =4,9) с термоголовкой",25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 130 мм,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
"Дюбель К - 180 с длинной распорной зоной со стальным гвоздем (д =4,9) с термоголовкой",25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 180 мм,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
"Дюбель К - 220 с длинной распорной зоной со стальным гвоздем (д =4,9) с термоголовкой",25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,25.94.12.190.01.7.15.07-0131-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 120 мм",10 шт
Дюбель KI-180N с длинной распорной зоной со стальным гвоздем (D=4.9) с термоголовой,25.94.12.190.01.7.15.07-0133-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 180 мм",10 шт
Дюбель для теплоизоляции 10х180 мм металлический гвоздь с термоголовкой,25.94.12.190.01.7.15.07-0133-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 180 мм",10 шт
Дюбель KI-180N с длинной распорной частью со стальным гвоздём с термоголовой,25.94.12.190.01.7.15.07-0133-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 180 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 180 мм,25.94.12.190.01.7.15.07-0133-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 180 мм",10 шт
Дюбель KI-220N с длинной распорной зоной со стальным гвоздем (D=4.9) с термоголовой,25.94.12.190.01.7.15.07-0134-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 220 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,25.94.12.190.01.7.15.07-0134-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 220 мм",10 шт
Дюбель KI-220N с длинной распорной частью со стальным гвоздём с термоголовой,25.94.12.190.01.7.15.07-0134-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 220 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,25.94.12.190.01.7.15.07-0134-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 220 мм",10 шт
Дюбель KI-300N с длинной распорной зоной со стальным гвоздем (D=4.9) с термоголовой 200шт,25.94.12.190.01.7.15.07-0135-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 300 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 320 мм,25.94.12.190.01.7.15.07-0135-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 300 мм",10 шт
Дюбель KI-300N с длинной распорной частью со стальным гвоздём с термоголовой,25.94.12.190.01.7.15.07-0135-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 300 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 320 мм,25.94.12.190.01.7.15.07-0135-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 300 мм",10 шт
"Дюбель К - 300с длинной распорной зоной со стальным гвоздем (д =4,9) с термоголовкой",25.94.12.190.01.7.15.07-0135-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 300 мм",10 шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 320 мм,25.94.12.190.01.7.15.07-0135-000,"Дюбель-гвозди пластиковые распорные с металлическим стержнем для теплоизоляции, диаметр 10 мм, длина 300 мм",10 шт
Дюбель-гвоздь 8*40,25.94.12.190.01.7.15.07-0041-000,"Дюбель-гвозди по бетону для монтажного пистолета, диаметр 2,7 мм, длина 40 мм",т
дюбель-гвоздь 8х40,25.94.12.190.01.7.15.07-0041-000,"Дюбель-гвозди по бетону для монтажного пистолета, диаметр 2,7 мм, длина 40 мм",т
Дюбель-гвоздь потай SM-L 5x40,25.94.12.190.01.7.15.07-0041-000,"Дюбель-гвозди по бетону для монтажного пистолета, диаметр 2,7 мм, длина 40 мм",т
дюбель-шуруп 4х30мм,25.94.12.190.01.7.15.07-0041-000,"Дюбель-гвозди по бетону для монтажного пистолета, диаметр 2,7 мм, длина 40 мм",т
Дюбель-гвоздь ПАРТНЕР PN-UK 6х40 (250 шт.) - коробка Партнер,25.94.12.190.01.7.15.07-0082-000,"Дюбель-гвозди полипропиленовые анкерные с бортом, диаметр 6 мм, длина 40 мм",100 шт
Дюбель-гвозди 6х40,25.94.12.190.01.7.15.07-0082-000,"Дюбель-гвозди полипропиленовые анкерные с бортом, диаметр 6 мм, длина 40 мм",100 шт
EIP 8x120TS Дюбель тарельчатый собранный (200 шт.),22.23.19.000.01.7.15.07-0204-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 120 мм",шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 130 мм,22.23.19.000.01.7.15.07-0204-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 120 мм",шт
Тарельчатый дюбель Normoclip NF 1РН 8/60-140,22.23.19.000.01.7.15.07-0206-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 140 мм",шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 130 мм,22.23.19.000.01.7.15.07-0206-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 140 мм",шт
Тарельчатый дюбель Normoclip NF 1РН 8/60-180,22.23.19.000.01.7.15.07-0206-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 140 мм",шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 180 мм,22.23.19.000.01.7.15.07-0206-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 140 мм",шт
Тарельчатый дюбель Normoclip NF 1РН 8/60-220,22.23.19.000.01.7.15.07-0206-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 140 мм",шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,22.23.19.000.01.7.15.07-0206-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 140 мм",шт
EIP 8x180TS Дюбель тарельчатый собранный (250 шт.),22.23.19.000.01.7.15.07-0209-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 180 мм",шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 180 мм,22.23.19.000.01.7.15.07-0209-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 180 мм",шт
Дюбель К 10х140 д/утепл. с пл. гвоздем (100/600 шт.),22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
Дюбель тарельчатый 8х140,22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
Дюбель-гвоздь 4.5x60 (10кг),22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
"дюбель-гвоздями 4,5х60 оцинкованными с насаженными шайбами ТУ 14-4-1731-92",22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
Дюбель-гвоздь UT-DN 47 P8,22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
Дюбель-гвоздь DNC47,22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
Дюбель-гвоздь UT-DN 52 Р8,22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
0Гвоздь по бетону DN 4.0-52/P8 (100шт.),22.23.19.000.01.7.15.07-0200-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 20 мм",шт
EIP 8x220TS Дюбель тарельчатый собранный (200 шт.),22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Дюбель гвоздь 6*40 гриб упаковка 200 шт РОССИЯ,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Дюбель К 6/35,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Дюбель-гвоздь SM-L 5х30 (упак 200шт),22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
дюбель-шуруп 4х30мм,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Дюбель-гвоздь SM-L 5х40 (упак 200шт),22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
дюбель-шуруп 4х30мм,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Дюбель-гвоздь SM-L 6х40 (упак 200шт),22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Дюбель К 6/35,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
Держатель кровельный коньковый H-100мм TZ,25.11.23.119.12.1.01.05-0027-000,"Заглушка коньковая из оцинкованной стали для металлочерепичной кровли, ширина 160 мм, высота 100 мм",шт
"Угловой коньковый зажим, 100 мм ND2202 DKC",25.11.23.119.12.1.01.05-0027-000,"Заглушка коньковая из оцинкованной стали для металлочерепичной кровли, ширина 160 мм, высота 100 мм",шт
Держатель кровельный коньковый Н-100мм TZ,25.11.23.119.12.1.01.05-0027-000,"Заглушка коньковая из оцинкованной стали для металлочерепичной кровли, ширина 160 мм, высота 100 мм",шт
Зажим коньковый угловой 100 мм ND2202 DKC,25.11.23.119.12.1.01.05-0027-000,"Заглушка коньковая из оцинкованной стали для металлочерепичной кровли, ширина 160 мм, высота 100 мм",шт
ALFA SML Торцевая крышка (заглушка) Ø100,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
Заглушка (пробка) торцевая SML DN 100,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
Заглушка торцевая DN 100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
Заглушка торцевая SML 100 чугун,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
